s,s7-8,s3-1,s8-1,s7-3,s1-2,s3-4,s3-5,s3-6,b1-3-4,b1-3-5,b1-3-6,b2-1-3,b2-1-8,b7-3-4,b7-3-5,b7-3-6,t2-1-8-7,t1-8-7-3
-9.32799925974,-0.0818569067343,-0.172490509163,-0.000267784445547,-0.00183848672128,-0.00024556780183,-0.00066939530854,-0.00213207120385,-0.000640972117331,-0.0319567450545,-0.0737424084154,-0.0319571336355,0.328347523329,-0.000835961615335,0.000534246742453,-0.000873942044959,0.000532126813202,-1.23048755189e-08,7.10273477894e-07
-9.29800534649,-0.0776597209453,-0.164453790116,-0.000204268842352,-0.00172436462163,-0.000197276215338,-0.000578687429293,-0.00211809947756,-0.000602628250325,-0.0317320212675,-0.0730790122594,-0.0317331277714,0.319448495341,-0.000758341920696,0.000540349856683,-0.000855886836129,0.000541781678563,1.38846445897e-08,-6.5617930854e-07
-9.26801141488,-0.0736358672954,-0.156868775927,-0.000175231292473,-0.00163452214548,-0.000170355657364,-0.000573256353077,-0.00196857506074,-0.000555320205374,-0.0315031508809,-0.0724577686074,-0.0315047251996,0.310836985747,-0.000689274090922,0.000552775262754,-0.000833469741723,0.000550671105878,1.56031700044e-09,5.47089311466e-07
-9.23801746625,-0.0697434726761,-0.149683378971,-0.000223145382083,-0.00152702170096,-0.000145440781307,-0.000562060880712,-0.00190895262425,-0.000583590927383,-0.0313026799932,-0.0718944304468,-0.0313020028347,0.302511621505,-0.000628137955543,0.000559613361117,-0.000813797350481,0.00056166508711,1.95729989835e-09,-6.44380749297e-07
-9.2080235019,-0.0659875556443,-0.142886284991,-0.000236175113977,-0.00142327706612,-0.000178732412041,-0.000541081584473,-0.00177383904477,-0.000538518593116,-0.0311348067582,-0.0714241605392,-0.0311351218358,0.294491829973,-0.000576078511333,0.000573635604211,-0.000795206546245,0.000573537894056,7.77386480105e-10,-6.71600993931e-09
-9.17802952303,-0.0623382926063,-0.136462611774,-0.00025968053647,-0.00132469404551,-0.000233044045232,-0.000549424048381,-0.00164545098567,-0.000516992878709,-0.0310040207906,-0.0710546202823,-0.0310056460975,0.286765169292,-0.000532785995815,0.000590775945142,-0.000782042421379,0.000587318328752,-2.75262743207e-09,1.02357603425e-06
-9.14803553078,-0.0587955186378,-0.130375931533,-0.000258660137807,-0.00124080355063,-0.000319485691882,-0.000520888109242,-0.00153716642866,-0.0005067705009,-0.0309273511159,-0.0708061611788,-0.0309279035658,0.279331329359,-0.000495600413862,0.000601054043549,-0.000755510712787,0.00059957140968,8.14546926875e-09,4.51485724146e-07
-9.11804152618,-0.055261565244,-0.12464477323,-0.000301123015789,-0.0011555390239,-0.000420198434695,-0.000478090020668,-0.00145515457429,-0.000476136112418,-0.0309032378721,-0.0706636618928,-0.0309030281883,0.272225676343,-0.000353161235184,0.00060709049372,-0.000736414139982,0.000606985782449,-2.89685284632e-09,6.49526317309e-08
-9.08804751103,-0.0519152373107,-0.119140171739,-0.000363378957574,-0.00106924223679,-0.000520388853261,-0.000459900752184,-0.00135683297948,-0.000452386790449,-0.030921091855,-0.0706485180535,-0.0309216066801,0.265258680467,-0.0004308552623,0.000625635632716,-0.000701456507702,0.000624800056168,-7.30613663595e-09,2.37142184494e-07
-9.0580534846,-0.04859925677,-0.11394073789,-0.000396787972902,-0.000988325800363,-0.000664083808493,-0.000421407712779,-0.00130407158111,-0.000431101359807,-0.0309930667945,-0.0707343372037,-0.0309928100181,0.258602177846,-0.000422136723421,0.000635808495502,-0.000669824002357,0.000636759898794,8.3949722139e-11,-3.0587357775e-07
-9.0280594484,-0.0453505618073,-0.109013325193,-0.000433466066214,-0.00091082956916,-0.0008178983407,-0.000409041223641,-0.00117043768533,-0.000407152410936,-0.0310994493619,-0.0709103297087,-0.0310991850921,0.252168884159,-0.000421488949309,0.000651160018951,-0.000644919654719,0.000651043292019,-1.63698601338e-09,7.59630849383e-08
-8.99806540315,-0.0421592726539,-0.104305120889,-0.000508198870675,-0.000832997518721,-0.000975617596971,-0.000373187067601,-0.00110962348131,-0.000369397064945,-0.031242677785,-0.0711634879606,-0.0312429675256,0.245937466513,-0.000428917779552,0.000664502258709,-0.000617337113913,0.000663948088064,4.96541736151e-10,1.59712918254e-07
-8.9680713495,-0.0390419408129,-0.099814962658,-0.00057577610927,-0.000760692593918,-0.00115168914339,-0.000364104889081,-0.00102650881744,-0.000355568118555,-0.0314111609124,-0.0714758995522,-0.0314117559641,0.239892894004,-0.000444117204675,0.000677379795746,-0.000590348620591,0.000676530800181,1.11166712159e-09,2.24793588853e-07
-8.93807728802,-0.0359970497619,-0.0955185753464,-0.000655794174521,-0.000691726227217,-0.00133238725569,-0.000339921151971,-0.000951288040686,-0.000339815871219,-0.031596319139,-0.071827162541,-0.0315963600101,0.23401897524,-0.000466398750494,0.00069075026858,-0.00056414169338,0.000690790385504,-2.08048827581e-10,-1.9533573379e-08
-8.90808321924,-0.0330376409165,-0.0914001208011,-0.00071266529745,-0.000624642189595,-0.00154287966771,-0.000316776161323,-0.000866282863746,-0.000316396695202,-0.0317887825081,-0.072193613228,-0.0317893285821,0.228309753208,-0.000492308014788,0.000707208433961,-0.00054376884995,0.000707026171595,5.87131821075e-09,-7.87037646188e-09
-8.87808914361,-0.0301631215176,-0.0874505295753,-0.000803264208161,-0.000562171616078,-0.00174257115214,-0.000291024465293,-0.000798813418637,-0.000289438705372,-0.031976450705,-0.0725504533236,-0.0319768127145,0.222749508678,-0.000520673597302,0.000723880948971,-0.000525957597287,0.000723585102844,9.64853875847e-10,5.93423766236e-08
